user_name|Ilya Kondratiev
pause|Druk op een willekeurige knop om door te gaan..
male|Mannelijk
female|Vrouwelijk
currency|Rub
bal|Saldo:
lim|Limiet:
zastavka_name|text
zastavka_fac|text
zastavka_kaf|text
zastavka_curs|text
zastavka_disciplina|text
zastavka_tema|text
zastavka_rucovoditel|text
zastavka_prepod|text
zastavka_morozova|text
zastavka_assistent|text
zastavka_artemenko|text
zastavka_vipolnil|text
zastavka_student|text
zastavka_rudnev|text
zastavka_doneck|text
zastavka_start|Start: <ENTER>
zastavka_lang|Taal wijzigen: <TAB>
zastavka_exit|Afsluiten: <Q>
zastavka_about_author|Over de auteur: <a>
zastavka_help|Gebruikershandleiding: <s>
zastavka_about_prog|Over het programma: <d>
switch_lang_sharp|[Taalmenu]
switch_lang_name|Taal wijzigen frame
switch_lang_all|Beschikbare talen:
switch_lang_now|Huidige taal:
switch_lang_sm|Voer de taalcode in om te wijzigen:
switch_lang_ok|Taal is succesvol gewijzigd.
switch_lang_er|Taal is niet gevonden.
auth_hub|[ Inlogscherm ]
auth_message|<Voer kaart in om door te gaan>
auth_card|Kaart:
auth_card_status_t|Bij een geldautomaat.
auth_logoff|Druk op <s> om de kaart te krijgen.
auth_proceed|Druk op <d> om verder te gaan.
auth_card_status_f|Niet gevonden.
auth_enter_card|Druk op <s> om een ​​kaart te plaatsen.
auth_leave|Druk op <d> om af te sluiten.
auth_get_pin_hub|[Inlogscherm]
auth_get_pin_message|Stel uw accountpincode in:
auth_get_pin_tip|<Pin is een viercijferig nummer>
auth_get_pin_error|Fout. Ongeldige pincode.
auth_get_pin_reply|Typ opnieuw:
auth_delay|Een ogenblik geduld! Dank u.
auth_hello_hub|[Autorisatie voltooid]
auth_hallo| welkom!
check_pin_hub|[ Controleer pincode ]
check_pin_message|Voer de pincode in om de bewerking te bevestigen:
check_pin_error|Fout. Ongeldige pincode.
check_pin_reply|Voer opnieuw in:
check_pin_delay|Een ogenblik geduld! Dank u.
menu_hub|[ Hoofdmenu ]
menu_list_addBal|Account opwaarderen.
